"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"32",11,1,7,2,8,3,1,1,0,0,197764,29881,24219,168095,5449,25761,4133,29485,24213,14684,13225,240,14,"TOP","MIDDLE",1682,29,7,9,1014,8820,0,0,31,FALSE,FALSE,FALSE,FALSE,NA,NA
"33",11,2,11,2,8,2,1,0,0,0,122618,22853,9795,107017,5806,9629,8029,5545,11141,11740,11533,160,9,"MIDDLE","BOTTOM",1280,11,5,0,663,2680,0,0,0,FALSE,FALSE,FALSE,TRUE,NA,NA
"34",7,13,29,1,2,2,1,0,0,0,75926,30340,33225,40847,1853,3152,3152,88565,68764,14093,12850,55,0,"MIDDLE","",1328,0,0,0,169,11012,0,0,33,FALSE,FALSE,FALSE,TRUE,NA,NA
"35",10,6,14,5,2,2,1,0,0,0,324270,35740,38892,267214,18163,31011,5506,34217,30839,17955,16550,269,28,"MIDDLE","MIDDLE",1938,27,10,2,520,11166,0,0,36,FALSE,FALSE,FALSE,FALSE,NA,NA
"36",14,4,6,5,4,3,3,1,0,0,200340,33367,130985,28347,41009,43374,23761,18379,24967,15726,14900,187,4,"JUNGLE","TOP",1511,17,10,1,619,6206,0,0,7,FALSE,TRUE,FALSE,FALSE,NA,NA
"37",5,2,2,1,5,2,2,0,0,0,83357,6016,227,81753,1376,12486,3081,4122,8381,8891,7400,153,10,"NONE","BOTTOM",1180,13,7,1,707,1681,0,0,7,FALSE,FALSE,FALSE,FALSE,NA,NA
"38",6,4,14,1,3,1,0,0,0,0,230858,15421,16546,140479,73831,41850,6249,29750,43741,11576,10100,20,163,"JUNGLE","JUNGLE",1537,37,8,7,524,26636,0,0,34,FALSE,FALSE,FALSE,FALSE,NA,NA
"39",7,5,3,2,3,1,0,0,0,0,85308,14207,0,83716,1592,4760,2272,20330,19196,9573,8960,122,4,"TOP","TOP",1468,9,2,3,274,4480,0,0,25,TRUE,FALSE,FALSE,FALSE,NA,NA
"40",7,2,11,1,6,2,1,0,0,0,21538,11107,0,15217,6321,4203,719,5836,12125,8135,7375,29,0,"BOTTOM","UTILITY",1400,71,24,13,373,3762,0,0,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"41",7,3,7,2,5,2,1,0,0,0,207612,16165,0,146154,61458,8484,0,44183,31006,10539,9350,16,136,"JUNGLE","JUNGLE",1750,10,0,1,740,13468,0,0,23,FALSE,FALSE,FALSE,FALSE,NA,NA
"42",1,1,9,0,0,1,0,0,0,0,9089,5864,5460,3206,422,0,0,6171,10205,4697,4275,9,0,"NONE","UTILITY",928,26,14,2,860,1600,769,426,26,FALSE,FALSE,FALSE,FALSE,NA,NA
"43",4,5,9,1,2,1,0,0,0,0,147691,23954,138592,8897,202,549,549,9583,16156,10956,10150,223,0,"BOTTOM","BOTTOM",1689,10,7,0,400,2342,1221,3779,50,FALSE,FALSE,FALSE,FALSE,NA,NA
"44",9,3,8,2,5,2,1,0,0,0,272325,23876,15334,187224,69764,50839,2301,29101,37185,11410,9300,17,170,"JUNGLE","JUNGLE",1413,17,5,2,494,24813,0,0,20,FALSE,FALSE,FALSE,FALSE,NA,NA
"45",8,1,9,2,6,2,1,0,0,0,122648,17681,34342,75599,12706,12740,9039,6622,12087,12102,11883,170,4,"BOTTOM","BOTTOM",1232,20,8,2,669,2467,0,0,2,TRUE,FALSE,TRUE,FALSE,NA,NA
"46",0,5,3,0,0,0,0,0,0,0,90140,8336,85162,4978,0,1382,0,19837,18252,7355,7310,172,0,"MIDDLE","MIDDLE",1416,17,8,3,509,368,0,453,22,FALSE,FALSE,FALSE,FALSE,NA,NA
"47",5,3,3,1,4,2,1,0,0,0,81573,10290,49895,11207,20470,563,0,5217,12377,6581,5625,28,66,"NONE","JUNGLE",961,12,3,2,455,4504,0,0,18,FALSE,FALSE,FALSE,FALSE,NA,NA
"48",10,5,5,3,3,2,1,0,0,0,226543,34113,0,211386,15156,13368,10966,43970,36774,16312,13825,269,4,"TOP","TOP",1992,17,11,0,670,772,0,0,52,FALSE,FALSE,FALSE,FALSE,NA,NA
"49",4,5,1,1,4,2,1,0,0,0,107826,16492,4743,89269,13813,19735,12075,12402,20904,11805,11200,207,0,"BOTTOM","BOTTOM",1585,17,6,5,521,4120,0,0,6,FALSE,FALSE,TRUE,FALSE,NA,NA
"50",4,5,9,2,2,1,0,0,0,0,247167,12140,35975,135955,75236,29754,2328,32339,36100,10987,9500,44,166,"JUNGLE","JUNGLE",1488,34,4,10,583,20474,0,0,26,FALSE,FALSE,FALSE,FALSE,NA,NA
"51",2,6,18,0,0,1,0,0,0,0,44053,11041,31124,8329,4599,12146,1064,20637,22432,9258,7650,34,0,"JUNGLE","UTILITY",1817,76,30,15,599,5818,288,609,67,FALSE,FALSE,FALSE,FALSE,NA,NA
"52",7,3,9,2,3,1,0,0,0,0,54207,13892,49222,3739,1245,9970,3566,4245,11276,9710,7625,32,2,"BOTTOM","UTILITY",1562,89,46,7,572,771,0,0,31,FALSE,FALSE,FALSE,TRUE,NA,NA
"53",7,2,0,1,5,2,1,0,0,0,92336,12397,4740,84448,3148,4447,4199,10842,13139,8624,7725,149,0,"NONE","TOP",958,14,5,1,710,3984,0,0,13,FALSE,FALSE,TRUE,FALSE,NA,NA
"54",2,2,9,1,2,1,0,0,0,0,106969,7668,94960,9742,2266,3395,3016,2974,8075,10450,9000,188,0,"BOTTOM","BOTTOM",1585,21,8,5,559,1692,774,152,20,FALSE,FALSE,FALSE,TRUE,NA,NA
"55",4,8,11,1,2,1,0,0,0,0,244813,14895,17451,155708,71653,5713,0,45208,31352,10988,10650,37,159,"JUNGLE","JUNGLE",1837,19,5,3,449,11579,0,0,32,FALSE,FALSE,FALSE,FALSE,NA,NA
"56",8,7,8,2,3,2,1,0,0,0,308932,22067,82795,138949,87189,51738,2068,19173,37585,14096,13225,20,214,"TOP","JUNGLE",2177,50,7,14,638,17538,0,0,18,FALSE,FALSE,FALSE,FALSE,NA,NA
"57",9,8,5,2,4,2,3,0,0,0,249376,46974,37684,194478,17213,10447,3271,19702,37175,15086,14893,258,14,"TOP","TOP",2045,16,10,3,408,6520,0,0,20,FALSE,FALSE,FALSE,FALSE,NA,NA
"58",8,2,3,2,5,2,1,0,0,0,105957,28310,92958,12303,695,3097,3097,7082,15566,9808,9525,156,0,"BOTTOM","BOTTOM",1485,18,10,0,841,2734,0,0,52,FALSE,FALSE,FALSE,FALSE,NA,NA
"59",6,1,11,1,5,1,0,0,0,0,164233,21348,138806,21788,3638,7321,3072,7395,13069,11484,10425,237,4,"MIDDLE","MIDDLE",1584,19,10,6,538,2385,0,4200,23,FALSE,FALSE,FALSE,FALSE,NA,NA
"60",1,6,5,0,0,1,0,0,0,0,81936,8214,70071,11353,510,1582,1582,14221,24559,6564,6250,118,2,"TOP","TOP",1279,9,6,0,288,15076,0,0,23,FALSE,FALSE,FALSE,FALSE,NA,NA
"61",1,3,5,0,0,1,0,0,0,0,8934,3436,5168,2631,1134,347,347,7383,12183,4845,4575,23,0,"BOTTOM","UTILITY",1209,16,8,1,746,8391,4492,1912,6,FALSE,FALSE,FALSE,FALSE,NA,NA
"62",5,6,15,1,2,2,1,0,0,0,179787,13966,15947,5505,158334,7201,167,16582,18686,10513,8950,13,132,"JUNGLE","JUNGLE",1703,27,1,8,415,8185,2410,13959,70,FALSE,TRUE,FALSE,FALSE,NA,NA
"63",12,1,8,2,7,2,2,0,0,0,148281,25275,115543,10363,22375,10445,3254,5631,12427,13442,11900,206,0,"BOTTOM","BOTTOM",1620,16,7,0,980,3093,0,0,19,TRUE,FALSE,FALSE,TRUE,NA,NA
"64",7,3,9,2,5,2,1,0,0,0,200272,22887,25576,164548,10147,26655,7932,21674,23322,13378,11525,215,9,"TOP","TOP",1539,24,8,2,363,8343,0,0,17,FALSE,FALSE,FALSE,FALSE,NA,NA
"65",5,3,6,2,2,1,0,0,0,0,205626,12728,8841,130584,66200,44775,3500,17685,19804,11430,11075,39,136,"JUNGLE","JUNGLE",1304,14,5,1,603,11059,0,0,4,FALSE,FALSE,FALSE,FALSE,NA,NA
"66",4,0,3,1,4,2,1,0,0,0,82538,7932,192,82296,48,6565,4034,1697,3694,8426,6500,171,4,"NONE","BOTTOM",1159,10,6,1,0,1101,0,0,6,FALSE,FALSE,FALSE,TRUE,NA,NA
"67",4,2,3,2,2,1,0,0,0,0,66969,10064,11446,54139,1383,6185,6185,3449,8423,7286,4575,115,0,"NONE","MIDDLE",900,5,4,0,550,1258,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"68",10,4,9,1,9,2,3,0,0,0,152131,27822,122445,14632,15053,5223,1860,12536,22444,13547,12700,210,0,"MIDDLE","MIDDLE",1982,16,4,3,999,2578,0,0,42,FALSE,FALSE,FALSE,FALSE,NA,NA
"69",4,3,10,1,2,1,0,0,0,0,154673,19499,2511,151055,1106,7660,3442,12723,16565,12526,12275,227,4,"BOTTOM","BOTTOM",1668,18,8,8,656,6012,0,0,3,FALSE,FALSE,FALSE,FALSE,NA,NA
"70",27,10,17,6,7,3,3,2,0,0,111913,50539,7436,103120,1355,216,216,23775,26767,17077,18310,109,0,"MIDDLE","",1273,0,0,0,306,2539,0,0,13,TRUE,FALSE,FALSE,FALSE,NA,NA
"71",3,14,7,0,0,1,0,0,0,0,329685,15206,31077,224338,74268,18875,5548,32815,60111,13240,12550,24,221,"JUNGLE","JUNGLE",2210,29,2,5,442,25027,0,0,21,FALSE,FALSE,FALSE,FALSE,NA,NA
"72",6,1,1,2,4,1,0,0,0,0,52697,7331,461,51228,1008,3447,3447,12378,12320,6993,6950,117,0,"NONE","TOP",912,8,4,1,527,1557,0,92,11,FALSE,FALSE,FALSE,FALSE,NA,NA
"73",2,5,5,1,2,1,0,0,0,0,52827,10064,22963,26784,3080,117,0,4279,10823,6065,5933,115,0,"NONE","BOTTOM",970,4,4,2,287,543,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"74",6,6,12,2,3,1,0,0,0,0,142109,29990,115140,17477,9491,17353,8792,11044,22616,13134,12200,164,2,"JUNGLE","TOP",1937,29,15,2,408,6195,0,0,28,FALSE,TRUE,FALSE,FALSE,NA,NA
"75",8,10,44,1,2,1,0,0,0,0,28066,18841,15703,8352,4010,283,283,63233,43812,11538,9000,14,0,"NONE","",971,0,0,0,113,7632,253,0,80,FALSE,FALSE,FALSE,TRUE,NA,NA
"76",8,6,8,1,5,4,1,1,1,0,142652,30460,125148,14561,2942,6669,3128,8219,22760,12294,11300,204,4,"MIDDLE","MIDDLE",1777,19,11,2,747,1310,0,0,30,FALSE,FALSE,FALSE,FALSE,NA,NA
"77",1,4,9,0,0,1,0,0,0,0,124402,13275,36193,87329,880,12745,1679,7438,13978,10183,10100,191,1,"MIDDLE","BOTTOM",1680,11,7,0,731,1477,0,0,1,FALSE,TRUE,FALSE,FALSE,NA,NA
"78",2,3,12,1,2,1,0,0,0,0,22611,9011,0,20474,2137,3235,3235,4428,11818,6902,6300,20,0,"NONE","UTILITY",922,20,11,1,358,6221,2125,953,20,FALSE,FALSE,FALSE,TRUE,NA,NA
"79",2,4,10,0,0,1,0,0,0,0,242991,13459,15476,162915,64597,30437,225,25881,32349,10703,10550,14,167,"JUNGLE","JUNGLE",1511,15,1,3,690,19112,0,0,14,FALSE,TRUE,FALSE,FALSE,NA,NA
"80",11,7,12,4,2,2,2,0,0,0,189229,47227,1964,178980,8284,9330,4682,81449,49771,15125,13625,199,6,"TOP","TOP",2038,16,11,1,631,12482,0,0,25,TRUE,FALSE,FALSE,FALSE,NA,NA
"81",4,2,3,1,4,1,0,0,0,0,70623,10650,58887,8623,3112,2081,1570,2213,4971,7256,5800,156,0,"NONE","MIDDLE",1006,18,9,3,277,291,0,176,11,FALSE,FALSE,FALSE,FALSE,NA,NA
"82",5,1,7,1,4,1,0,0,0,0,109781,12501,91077,16488,2215,5840,5840,6450,12126,11567,9585,171,0,"MIDDLE","MIDDLE",1772,25,6,0,1308,862,0,0,9,FALSE,FALSE,FALSE,FALSE,NA,NA
"83",7,4,4,2,4,1,0,0,0,0,105642,19273,99405,6045,192,422,0,7191,12036,9292,9075,174,0,"MIDDLE","MIDDLE",1345,13,7,0,573,853,0,0,29,FALSE,FALSE,FALSE,FALSE,NA,NA
"84",2,6,20,0,0,1,0,0,0,0,27842,10459,20054,5094,2693,1933,734,8949,19900,8730,7800,27,0,"BOTTOM","UTILITY",2030,92,40,5,1071,11268,6322,2108,38,FALSE,FALSE,FALSE,FALSE,NA,NA
"85",7,3,7,2,3,2,1,0,0,0,142163,22276,16649,123355,2158,5871,5580,12089,19891,11233,11210,195,13,"MIDDLE","MIDDLE",1309,17,4,1,584,9609,0,0,12,FALSE,FALSE,FALSE,FALSE,NA,NA
"86",1,9,13,0,0,1,0,0,0,0,24216,5926,16207,4659,3349,4789,0,12983,24274,7487,7025,32,0,"BOTTOM","UTILITY",1890,76,35,8,394,3459,1088,9931,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"87",2,6,15,0,0,1,0,0,0,0,53202,8120,42127,5342,5733,4619,817,26039,30517,8992,7875,48,2,"BOTTOM","UTILITY",1845,79,41,6,839,6466,357,737,52,FALSE,FALSE,FALSE,FALSE,NA,NA
"88",0,0,1,0,0,0,0,0,0,0,71,71,15,56,0,0,0,0,0,533,500,0,0,"NONE","TOP",105,0,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,NA,NA
"89",12,11,41,5,2,1,0,0,0,0,141255,67029,130441,6864,3949,3333,3333,17140,31944,18585,16400,63,0,"TOP","",1588,0,0,0,203,2858,0,0,113,TRUE,FALSE,FALSE,FALSE,NA,NA
"90",1,8,7,0,0,1,0,0,0,0,67157,23340,62248,3700,1208,37,37,6917,20906,7726,6775,67,0,"BOTTOM","UTILITY",1770,58,20,10,406,183,0,0,24,FALSE,FALSE,FALSE,FALSE,NA,NA
"91",13,9,7,3,4,3,2,1,0,0,256990,47903,3786,244857,8346,20324,10331,21417,35288,19498,19600,278,16,"BOTTOM","BOTTOM",2363,20,11,2,914,10670,0,0,14,FALSE,FALSE,FALSE,FALSE,NA,NA
"92",2,13,23,0,0,1,0,0,0,0,94862,24501,16764,78098,0,1438,1438,48933,41686,12679,12425,128,0,"TOP","",1200,0,0,0,223,8126,0,0,22,FALSE,FALSE,FALSE,FALSE,NA,NA
"93",5,10,8,1,2,1,0,0,0,0,147989,24089,131960,9900,6128,3068,2071,11000,25116,11909,11500,233,0,"MIDDLE","MIDDLE",1855,20,10,1,364,1365,0,0,31,FALSE,FALSE,FALSE,FALSE,NA,NA
"94",5,7,3,2,3,1,0,0,0,0,153549,21481,128348,20629,4571,5521,4729,14735,31684,11220,11125,215,0,"MIDDLE","TOP",1864,24,8,4,534,5824,0,0,12,FALSE,FALSE,FALSE,FALSE,NA,NA
"95",1,3,1,0,0,1,0,0,0,0,106880,5288,62796,19517,24566,2966,0,10068,12399,5234,4300,9,96,"NONE","JUNGLE",911,4,1,0,374,6301,0,0,4,FALSE,FALSE,FALSE,FALSE,NA,NA
"96",7,2,11,2,4,1,0,0,0,0,137407,24489,16354,120268,784,12260,4349,7005,14502,11344,9683,198,12,"BOTTOM","BOTTOM",1355,12,7,3,788,5319,0,0,1,FALSE,FALSE,FALSE,FALSE,NA,NA
"97",5,2,4,2,3,1,0,0,0,0,100764,17508,83053,9899,7811,8852,6637,4364,14065,9202,8475,164,0,"MIDDLE","MIDDLE",1208,13,7,1,511,3850,0,0,6,FALSE,FALSE,FALSE,FALSE,NA,NA
"98",5,1,6,1,4,1,0,0,0,0,164337,17043,11549,144974,7813,22773,1774,17224,14121,10727,10240,205,13,"MIDDLE","MIDDLE",1689,13,6,1,1413,5370,0,0,22,FALSE,FALSE,FALSE,FALSE,NA,NA
"99",5,5,19,2,3,2,1,0,0,0,22834,12678,0,18646,4188,3165,2806,7538,17065,9955,8125,20,0,"BOTTOM","UTILITY",1512,99,43,11,500,4131,0,0,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"100",7,6,7,2,2,1,0,0,0,0,312105,32176,2929,251454,57720,34365,4441,16121,27083,13674,13525,60,158,"JUNGLE","JUNGLE",1945,35,6,4,459,9754,0,0,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"101",13,4,10,3,7,2,1,0,0,0,204513,39685,182988,19312,2212,19983,6430,19500,28027,16533,15075,253,0,"MIDDLE","MIDDLE",1931,24,8,5,643,2988,0,1098,30,FALSE,FALSE,FALSE,FALSE,NA,NA
"102",1,2,14,0,0,1,0,0,0,0,24200,9528,14788,5155,4256,3346,313,8110,13111,6974,6050,25,0,"BOTTOM","UTILITY",1476,53,25,5,663,2071,0,5847,30,FALSE,TRUE,FALSE,FALSE,NA,NA
"103",13,7,13,3,4,2,1,0,0,0,440631,44523,352724,7387,80517,56748,7307,18718,36607,18382,15800,55,251,"JUNGLE","JUNGLE",2081,21,6,3,526,13720,0,0,23,FALSE,FALSE,FALSE,FALSE,NA,NA
"104",3,8,13,1,3,1,0,0,0,0,304815,45159,262520,17839,24455,12294,5860,15775,27225,17613,15700,338,0,"BOTTOM","BOTTOM",2502,37,18,3,746,392,0,0,20,FALSE,FALSE,TRUE,FALSE,NA,NA
"105",12,7,7,3,4,2,1,0,0,0,168370,34252,8770,150481,9118,7021,6779,17313,22316,13750,11460,208,0,"MIDDLE","MIDDLE",1753,26,6,4,739,2460,0,0,6,FALSE,FALSE,FALSE,FALSE,NA,NA
"106",2,6,5,0,0,1,0,0,0,0,163613,9528,0,120960,42652,11979,0,25017,27333,8782,8250,42,114,"JUNGLE","JUNGLE",1370,14,2,1,396,10878,0,0,18,FALSE,FALSE,FALSE,FALSE,NA,NA
"107",2,9,6,0,0,1,0,0,0,0,12698,4259,4044,4235,4418,428,428,15104,13729,5226,4500,18,0,"NONE","UTILITY",1125,28,15,1,185,0,0,0,30,FALSE,FALSE,FALSE,TRUE,NA,NA
"108",4,9,13,1,2,1,0,0,0,0,234310,34854,208192,15842,10275,12695,5774,16011,29840,16003,15935,280,3,"MIDDLE","MIDDLE",2276,18,11,2,361,3923,0,0,48,FALSE,TRUE,FALSE,FALSE,NA,NA
"109",13,4,6,3,8,3,4,1,0,0,182712,26492,45895,124708,12108,32322,16732,9441,15615,15370,12905,218,16,"BOTTOM","BOTTOM",1384,8,5,0,371,2943,0,0,9,FALSE,FALSE,TRUE,FALSE,NA,NA
"110",3,5,8,0,0,1,0,0,0,0,113079,21179,7499,101123,4456,8335,6930,25522,25429,10533,9483,167,0,"TOP","TOP",1530,14,8,1,879,2152,0,0,54,FALSE,FALSE,FALSE,FALSE,NA,NA
"111",9,5,14,2,4,2,1,0,0,0,208244,36800,0,203494,4750,19874,5759,51542,37164,15033,13000,195,18,"TOP","TOP",1983,23,10,1,868,13825,0,0,20,TRUE,FALSE,FALSE,FALSE,NA,NA
"112",2,1,3,1,2,1,0,0,0,0,98490,5197,277,67877,30336,208,208,5631,12924,5599,5350,2,97,"NONE","JUNGLE",931,11,3,1,869,8645,0,0,2,FALSE,FALSE,FALSE,FALSE,NA,NA
"113",8,5,3,2,4,3,2,2,0,0,156184,17344,14062,133794,8327,1213,1213,8617,18389,13819,13050,232,8,"BOTTOM","BOTTOM",1676,15,8,3,691,5923,0,0,2,FALSE,FALSE,FALSE,FALSE,NA,NA
